main_artist,id,name,popularity,genres
Little Mix,6kz53iCdBSqhQCZ21CoLcc,Boy George,41,"['new romantic', 'new wave', 'new wave pop']"
Sia,6LQeBFIfD4C22RJVVjQ6S7,Bananarama,54,"['girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Dua Lipa,17U2ImH5IyYMvjkCfPhMHT,Spandau Ballet,58,"['new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']"
Olivia Rodrigo,3sc7iUG1Wwpwx7bHeZolgx,Thompson Twins,48,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
Conan Gray,0ym94xKp2PIOJtTZKpxbAa,Fine Young Cannibals,57,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Sabrina Carpenter,18xgcedCGxFbqLbIQn5R8F,The Bangles,60,"['album rock', 'jangle pop', 'new romantic', 'new wave', 'new wave pop', 'paisley underground', 'soft rock']"
Madison Beer,0f3kLT4wvi2mFHlHJgV8Hl,Frankie Goes To Hollywood,55,"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Tate McRae,1mZu3rO7qSD09GdDpePHhY,Kajagoogoo,42,"['new romantic', 'new wave pop', 'synthpop']"
Doja Cat,3vRclCt9VnNhYIxFMQCxuM,The Human League,59,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']"
Harry Styles,5dcOK4stT4JDkP6Dqhbz5s,Eurythmics,65,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
Ariana Grande,20p5D2KrE8CGuOjHtxsyTp,Wham!,69,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
Joshua Bassett,2urZrEdsq72kx0UzfYN8Yv,Sheena Easton,52,"['mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']"
Billie Eilish,0NKDgy9j66h3DLnN8qu1bB,Paul Young,55,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Melanie Martinez,6rqU9HQ57NYGBnBzbrY3a4,Berlin,58,"['new romantic', 'new wave pop', 'synthpop']"
Gracie Abrams,51l0uqRxGaczYr4271pVIC,The Communards,47,"['hi-nrg', 'new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']"
Taylor Swift,5jVeqi3PNaTOajfvBa4uFn,Dead Or Alive,55,"['hi-nrg', 'new romantic', 'new wave pop', 'synthpop']"
Dove Cameron,0dCKce6tJJdHvlWnDMwzPW,Belinda Carlisle,58,"['new romantic', 'new wave pop', 'soft rock']"
Selena Gomez,4PpmBoqphQusNFsxuVKb6j,Miami Sound Machine,52,"['disco', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
Dua Lipa,2u0gw0uCWBMiqV7h0N8kai,Irene Cara,61,"['disco', 'new romantic', 'new wave pop', 'soft rock']"
Lana Del Rey,5WWSL6rElJeUk3Uc1S2RyD,Level 42,54,"['brit funk', 'dance rock', 'new romantic', 'new wave pop', 'post-disco', 'sophisti-pop', 'synthpop']"
One Direction,5lpH0xAS4fVfLkACg9DAuM,Samantha Fox,42,"['hi-nrg', 'new romantic', 'new wave pop']"
Camila Cabello,1fa0cOhromAZdq2xRA4vv8,Mel & Kim,35,"['new romantic', 'new wave pop']"
girl in red,5GtMEZEeFFsuHY8ad4kOxv,Belinda Carlisle,58,"['new romantic', 'new wave pop', 'soft rock']"
SZA,2jS7I1u7BpgWT9ssG62Zr1,Kim Wilde,54,"['new romantic', 'new wave', 'new wave pop']"
Ariana Grande,6kz53iCdBSqhQCZ21CoLcc,The Bangles,60,"['album rock', 'jangle pop', 'new romantic', 'new wave', 'new wave pop', 'paisley underground', 'soft rock']"
Camila Cabello,0NKDgy9j66h3DLnN8qu1bB,Kajagoogoo,42,"['new romantic', 'new wave pop', 'synthpop']"
Selena Gomez,5MspMQqdVbdwP6ax3GXqum,Martika,43,"['minneapolis sound', 'new romantic', 'new wave pop']"
Demi Lovato,2urZrEdsq72kx0UzfYN8Yv,Culture Club,61,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Doja Cat,1zuJe6b1roixEKMOtyrEak,T'Pau,40,"['new romantic', 'new wave pop', 'synthpop']"
Dua Lipa,6rqU9HQ57NYGBnBzbrY3a4,Miami Sound Machine,52,"['disco', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
