main_artist,id,name,popularity,genres
Blueface,6O2zJ0tId7g07yzHtX0yap,Andr� 3000,60,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']"
Ski Mask The Slump God,0Mz5XE0kb1GBnbLQm2VbcO,A Tribe Called Quest,64,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']"
XXXTENTACION,3PyWEKLWI0vHPmoNrIX0QE,Mos Def,61,"['conscious hip hop', 'east coast hip hop', 'hip hop']"
NLE Choppa,30fiiwr2EeZp1tAhzYCmyM,Nas,71,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
Roddy Ricch,34EP7KEpOjXcM2TCat1ISk,Wu-Tang Clan,65,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Lil Yachty,5cMgGlA1xGyeAB2ctYlRdZ,The Roots,56,"['conscious hip hop', 'east coast hip hop', 'hip hop', 'philly rap', 'political hip hop']"
Lil Tjay,6FD0unjzGQhX3b6eMccMJe,Big Boi,51,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']"
Lil Skies,4VmEWwd8y9MCLwexFMdpwt,Common,58,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']"
Lil Baby,2GHclqNVjqGuiE5mA7BEoc,The Pharcyde,55,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'west coast rap']"
The Kid LAROI,7xTKLpo7UCzXSnlH7fOIoM,Goodie Mob,42,"['atl hip hop', 'conscious hip hop', 'dirty south rap', 'hardcore hip hop', 'old school atlanta hip hop', 'southern hip hop']"
Pop Smoke,2yQf6b8hxahZaT5dHlWaB1,Freddie Gibbs,62,"['alternative hip hop', 'hip hop', 'indiana hip hop', 'rap', 'underground hip hop']"
A Boogie Wit da Hoodie,2Xu7q46Hf02xOoEIm4E1Qs,Black Star,48,"['east coast hip hop', 'hip hop', 'political hip hop']"
Kodak Black,6ns6XAOsw4B0nDUIovAOUO,De La Soul,57,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']"
Eazy-E,09hVIj6vWgoCDtT03h8ZCa,Danny Brown,60,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'underground hip hop']"
N.W.A.,0lEssBAxQl2In4RpaB1C2Y,Madvillain,62,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop']"
ICE-T,50NoVNy9GU1lCrDV8iGpyu,J Dilla,55,"['alternative hip hop', 'detroit hip hop', 'hip hop', 'instrumental hip hop']"
Ice Cube,7HqrSDuI9lHuH1CDismTFg,Gang Starr,61,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hip hop']"
Warren G,0ONHkAv9pCAFxb0zJwDNTy,Fugees,63,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']"
MC Ren,5pnbUBPifNnlusY8kTBivi,Mobb Deep,64,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']"
Makaveli,3nFkdlSjzX9mRTtwJOzDYB,Ol' Dirty Bastard,62,"['east coast hip hop', 'hardcore hip hop', 'hip hop']"
Westside Connection,30fiiwr2EeZp1tAhzYCmyM,G-Unit,59,"['gangster rap', 'hardcore hip hop', 'hip hop', 'nyc rap', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop']"
Too $hort,3PyWEKLWI0vHPmoNrIX0QE,Lloyd Banks,60,"['detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'trap']"
Thug Life,7xTKLpo7UCzXSnlH7fOIoM,Fat Joe,65,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Nate Dogg,2yQf6b8hxahZaT5dHlWaB1,Young Buck,56,"['crunk', 'dirty south rap', 'nashville hip hop']"
Bone Thugs-N-Harmony,2Xu7q46Hf02xOoEIm4E1Qs,Xzibit,63,"['detroit hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
Mack 10,6FD0unjzGQhX3b6eMccMJe,Nate Dogg,73,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
Xzibit,6ns6XAOsw4B0nDUIovAOUO,Jadakiss,62,"['battle rap', 'east coast hip hop', 'trap']"
DJ Quik,50NoVNy9GU1lCrDV8iGpyu,Obie Trice,55,"['detroit hip hop', 'gangster rap']"
Geto Boys,4VmEWwd8y9MCLwexFMdpwt,Fabolous,63,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']"
Kurupt,6KVPfr3ujUkKOrJf4QeRWD,Makaveli,54,"['gangster rap', 'hip hop', 'singeli']"
The Notorious B.I.G.,4iCwCMnqsNZ6atvRiADgtn,Juelz Santana,60,"['gangster rap', 'harlem hip hop', 'hip pop', 'nyc rap', 'pop rap', 'trap']"
The D.O.C.,5cMgGlA1xGyeAB2ctYlRdZ,Busta Rhymes,68,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
Dr. Dre,1BH45DVSTeGBvcYXNCd67g,T.I.,71,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Tha Eastsidaz,10Khz9BDdDT2mzm3330Cvu,Method Man,67,"['east coast hip hop', 'hardcore hip hop', 'hip hop']"
N.W.A.,7HqrSDuI9lHuH1CDismTFg,Cassidy,44,"['battle rap', 'hardcore hip hop', 'hip pop', 'philly rap', 'southern hip hop', 'trap']"
Eazy-E,2gINJ8xw86xawPyGvx1bla,DMX,67,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
ICE-T,0Mz5XE0kb1GBnbLQm2VbcO,Redman,61,"['east coast hip hop', 'hardcore hip hop', 'new jersey rap', 'wu fam']"
Ice Cube,4OBbOrkD4geIjOLrICN3wO,Cam'ron,56,"['battle rap', 'east coast hip hop', 'harlem hip hop', 'southern hip hop']"
Warren G,6jHG1YQkqgojdEzerwvrVv,Tony Yayo,52,"['dirty south rap', 'hip hop', 'queens hip hop']"
Westside Connection,099tLNCZZvtjC7myKD0mFp,Warren G,60,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
MC Ren,67ei8ib6PLT1w3OkhIb4fB,KIDS SEE GHOSTS,57,['rap']
Nate Dogg,0lEssBAxQl2In4RpaB1C2Y,ScHoolboy Q,69,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Naughty By Nature,3ZotbHeyVQKxQCPDJuQ4SU,Joey Bada$$,70,"['conscious hip hop', 'hip hop', 'rap']"
Geto Boys,2GHclqNVjqGuiE5mA7BEoc,Pusha T,69,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
The Notorious B.I.G.,78xUyw6FkVZrRAtziFdtdu,Lupe Fiasco,63,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
Run�D.M.C.,4iCwCMnqsNZ6atvRiADgtn,Denzel Curry,67,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
Public Enemy,3PyWEKLWI0vHPmoNrIX0QE,Chance the Rapper,70,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Mobb Deep,6FD0unjzGQhX3b6eMccMJe,A$AP Rocky,79,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
